author_id,date_end,date_start,diary,id,lemmatized,sentiment_DOS,Intensity (Сергей),Polarity (Сергей),Noise class (Сергей),Intensity (Лена),Polarity (Лена),Noise class (Лена),Intensity (Артем),Polarity (Артем),Noise class (Артем),text
158,,1920-05-05,164,380571,"5/V предержащий власть, видимо, очень обеспокоить польский наступление, что явствовать из следующий вырезка (сегодняшний «известие»):     
                  
### особый совещание.  
#### приказ революционный военный совет республика.  
#### 2 май 1920 год № 718.    
непримиримый враг рабоче-крестьянский россия, польский буржуазный-шляхетский правительство, вероломный прикрываться заявление о согласие начинать мирный переговоры, сосредотачивать свой вооруженный франко-американский биржа сила и начало широкий наступление на советский украина с цель превращение она в кабальный польский колония.    
в этот условие советский россия, поставлять себя цель добиваться честный и прочный мир с братский польский народ на основа взаимный уважение и сотрудничество, вынуждать ныне сила оружие сламывать злобный и хищный воля польский правительство.    
в цель всесторонний освещение вопрос, связывать с этот борьба, от исход который зависеть судьба не только украинский, но и русский народ, РВСР постанавливать: образовывать при главнокомандующий весь вооруженный сила республика высокоавторитетный по свой состав особый совещание по вопрос увеличение сила и средство для борьба с наступление польский контрреволюция.    
но особый совещание, в состав кой должный входить как военный, так и политический деятель, возлагаться изыскание и всесторонний обсуждение тот мера, который должный быть своевременно принимать для сосредоточение такой сила и средство борьба, который обеспечивать бы победа в короткий время.    
председательствование в особый совещание возлагаться на а. а. брусилов.    
член совещание назначаться: из генштаб а. а. поливанов, в. н. клембовский, п. с. балуев, а. е. гутор, а. м. зайончковский, а. а. цуриков, м. в. акимов, д. п. парский, а. и. верховский, и. и. скворцов, л. п. серебряков, а. н. александров, к. х. данишевский.    
>>председатель революционный военный совет республика л. троцкий.     
>>главнокомандующий весь вооруженный сила республика с. каменев.     
>>член реввоенсовет республика курский.
",neutral,1,1,,,,в,,,,"5/V Предержащие власти, видимо, очень обеспокоены польским наступлением, что явствует из следующей вырезки (сегодняшние «Известия»):     
                  
### Особое совещание.  
#### Приказ революционного военного совета республики.  
#### 2 мая 1920 года № 718.    
Непримиримый враг рабоче-крестьянской России, польское буржуазно-шляхетское правительство, вероломно прикрывшись заявлениями о согласии начать мирные переговоры, сосредоточило свои вооруженные франко-американской биржей силы и начало широкое наступление на Советскую Украину с целью превращения ее в кабальную польскую колонию.    
В этих условиях Советская Россия, поставившая себе целью добиться честного и прочного мира с братским польским народом на основах взаимного уважения и сотрудничества, вынуждена ныне силою оружия сломить злобную и хищную волю польского правительства.    
В целях всестороннего освещения вопросов, связанных с этой борьбой, от исхода которой зависит судьба не только украинского, но и русского народа, РВСР постановил: образовать при главнокомандующем всеми вооруженными силами республики высокоавторитетное по своему составу Особое Совещание по вопросам увеличения сил и средств для борьбы с наступлением польской контрреволюции.    
Но Особое Совещание, в состав коего должны войти как военные, так и политические деятели, возлагаются изыскание и всестороннее обсуждение тех мер, которые должны быть своевременно приняты для сосредоточения таких сил и средств борьбы, которые обеспечили бы победу в кратчайшее время.    
Председательствование в Особом Совещании возлагается на А. А. Брусилова.    
Членами Совещания назначаются: из Генштаба А. А. Поливанов, В. Н. Клембовский, П. С. Балуев, А. Е. Гутор, А. М. Зайончковский, А. А. Цуриков, М. В. Акимов, Д. П. Парский, А. И. Верховский, И. И. Скворцов, Л. П. Серебряков, А. Н. Александров, К. Х. Данишевский.    
>>Председатель Революционного Военного Совета республики Л. Троцкий.     
>>Главнокомандующий всеми вооруженными силами республики С. Каменев.     
>>Член Реввоенсовета республики Курский."
188,,1974-12-18,193,39598,"мартиролог II. заголовок претенциозный и лживый, но пусть оставаться, как память о мой ничтожество — неистребимый и суетный)   
начинать 18 декабрь 1974 год   
начинать новый тетрадь (первый, неоконченный, оставлять в деревня. там она и быть кончать, а этот оставлять для москва). дело, как всегда, не блестящий. что касаться фильм:  
студия давать он второй категория. прокат не печатать никакой копия; видимо, тираж не быть. состояться обсуждение в комитет, где все клясть я на чем свет стоять. хотеть (в защита) выступать арнштам и карасик, но они не давать слово. «идиот» делать ермаша я не давать. посмотреть.  
месяц проводить в мясной. не прочитывать ни строчка. пилить и колоть дрова, чинить с родин м. и. электропроводка, сделать чрезвычайно халтурно. тяп очень вырастать, и я скучать сейчас о он. в дом холодно. лето он надо быть утеплять (потолок в кухня, м. б., паровой отопление, сухой дрова).  
с сегодняшний день работать с саша м[ишарин] над сценарий для хамраев, от который ни слух ни дух. хотеть за 10 день написать весь 65–70 страница.  
получать с лариса два квартира на «мосфильм». ждать ордер, весь документ уже сдавать.  
я весь в долг. надежда на таллинский договор (5 январь) и просмотр «зеркало» через бюро пропаганда.
",neutral,2,1,,2,1,,,,,"Мартиролог II. Заголовок претенциозный и лживый, но пусть останется, как память о моем ничтожестве — неистребимом и суетном)   
Начата 18 декабря 1974 года   
Начал новую тетрадь (первую, неоконченную, оставил в деревне. Там ее и буду кончать, а эту оставлю для Москвы). Дела, как всегда, не блестящи. Что касается фильма:  
Студия дала ему вторую категорию. Прокат не печатает никаких копий; видимо, тиража не будет. Состоялось обсуждение в Комитете, где все кляли меня на чем свет стоит. Хотели (в защиту) выступить Арнштам и Карасик, но им не дали слова. «Идиота» делать Ермаш мне не дает. Посмотрим.  
Месяц провел в Мясном. Не прочел ни строчки. Пилил и колол дрова, чинил с Родиным М. И. электропроводку, сделанную чрезвычайно халтурно. Тяпа очень вырос, и я скучаю сейчас о нем. В доме холодно. Летом его надо будет утеплять (потолок в кухне, м. б., паровое отопление, сухие дрова).  
С сегодняшнего дня работаем с Сашей М[ишариным] над сценарием для Хамраева, от которого ни слуху ни духу. Хотим за 10 дней написать все 65–70 страниц.  
Получаем с Ларисой две квартиры на «Мосфильме». Ждем ордера, все документы уже сданы.  
Я весь в долгах. Надежда на таллинские договоры (5 января) и просмотры «Зеркала» через Бюро пропаганды."
551,,1995-12-26,559,187166,"в ККЗ «россия» после уход публика в ряд среди кресло оставаться десяток, если не сотня экземпляр «искусство кино» и «эис»<com id=""14808743964420""/> — специальный номер, подготовить к дата и сделать, надо сказать, любовно. часть этот литература валяться на пол, билетерша при я спрашивать один другой, что с это делать, куда девать... и это, в общий, самый сильный впечатление от вечер...
",neutral,2,1,,2,1,,,,,"В ККЗ «Россия» после ухода публики в рядах среди кресел остались десятки, если не сотни экземпляров «Искусство кино» и «ЭиС»<com id=""14808743964420""/> — специальных номеров, подготовленных к дате и сделанных, надо сказать, любовно. Часть этой литературы валялась на полу, билетерши при мне спрашивали одна другую, что с этим делать, куда девать... И это, в общем, самое сильное впечатление от вечера..."
1012,,1945-12-25,1022,269195,"сегодня весь христианский мир праздновать рождество, и только один православие стоять в сторона. как это нелепый! патриарх и митрополит летать на самолет, многий духовный носить в обычный время светский одежда, а григорианский стиль бояться, как чума. уж не потому ли только, что он «григорианский»? так и юлианский быть создавать не православный и даже не христианин.я что-то совсем позабывать с академический время, почему мы так цепляться за старый стиль.    
рождество! елка, славление христос и весь такой торжественный, а вместе с то чистый, простой, душевный! я с наслаждение перебирать в память картина детский год. становиться так ясно и тепло на душа. вот я теперь совсем уже не православный, не церковник, а все, что связанный с юный воспоминание о религия, все так прекрасно, так радовать. слава бог, что все это быть. «суждено быть входить и в этот дверь». и теперь скептик серво с наслаждение окунаться пора в этот пахучий волна, звенеть песнопение, сияние дивный огонь.    
быть ли наш ребенок и внук так счастливый в год зрелость и старость, когда захотеть вспомнить пора свой детство? и быть ли у они так красивый и очаровательный их образ прошлое?
",neutral,3,1,,2,1,,,,,"Сегодня весь христианский мир празднует Рождество, и только одно православие стоит в стороне. Как это нелепо! Патриархи и митрополиты летают на самолетах, многие духовные носят в обычное время светскую одежду, а григорианского стиля боятся, как чумы. Уж не потому ли только, что он «григорианский»? Так и юлианский был создан не православным и даже не христианином.Я что-то совсем позабыл с академических времен, почему мы так цепляемся за старый стиль.    
Рождество! Ёлка, славление Христа и все такое торжественное, а вместе с тем чистое, простое, душевное! Я с наслаждением перебираю в памяти картины детских лет. Становится так ясно и тепло на душе. Вот я теперь совсем уже не православный, не церковник, а все, что связано с юными воспоминаниями о религии, все так прекрасно, так радует. Слава Богу, что все это было. «Суждено было войти и в эту дверь». И теперь скептик Серво с наслаждением окунается порою в эти пахучие волны, звенящие песнопения, сияния дивных огней.    
Будут ли наши дети и внуки так счастливы в годы зрелости и старости, когда захотят вспомнить пору своего детства? И будут ли у них так красивы и очаровательны их образы прошлого?"
817,,1864-04-27,827,440216,"15, великий среда. в домашний беседа, издавать аскоченский (выпуск 15-й, 11 апрель 1864 г.), напечатать этот греховодник аполог, в который осмеивать митрополит исидор и короткий знакомка его матрена александровна егорова, бывать у он ежедневно.    
                   
>труженица    
>(аполог).    
>ну что, егоровна, находить себя местечко?    
>еще какой! со стол    
>и с освещение и с теплый печка,    
>с почет, мать мой. а служба в чем?    
>да как ты сказать?    
>в день раз по три навещать,    
>пить вместе чай, подушка поправлять,    
>да на ночь спинка растирать.    
>и только?—только. быть же, ведь,    
>егоровна, счастливица такой!    
>казаться, услуга небольшой,    
>попить чаек, да спинка потирать.    
>а вот, поди-ка, где с ты сравниваться?    
>стараться надобно, стараться.    
>так от труд и быть плод...    
>как много быть господин,    
>который и честь и совесть отдавать за то, что спинка они потирать.    
                   
в. незамай.    
это—аскоченский.
",skip,0,0,,,,ш,,,,"15, Великая Среда. В Домашней Беседе, издаваемой Аскоченским (выпуск 15-й, 11 апреля 1864 г.), напечатан этим греховодником Аполог, в котором осмеяны митрополит Исидор и короткая знакомка его Матрена Александровна Егорова, бывающая у него ежедневно.    
                   
>Труженица    
>(Аполог).    
>Ну что, Егоровна, нашла себе местечко?    
>Еще какое! Со столом    
>И с освещением и с теплой печкой,    
>С почетом, мать моя. А служба в чем?    
>Да как тебе сказать?    
>В день раза по три навещать,    
>Пить вместе чай, подушку поправлять,    
>Да на ночь спинку растирать.    
>И только?—Только. Есть же, ведь,    
>Егоровна, счастливицы такие!    
>Кажись, услуги небольшие,    
>Попить чайку, да спинку потереть.    
>А вот, поди-ка, где с тобой сравняться?    
>Стараться надобно, стараться.    
>Так от трудов и будет плод...    
>Как много есть господ,    
>Которые и честь и совесть отдают За то, что спинку им потрут.    
                   
В. Незамай.    
Это—Аскоченский."
986,,1941-09-11,996,445615,"а сейчас ярко светить солнце. вот только что, буквально у мы на глаз, наш зенитчик сбивать три советский бомбардировщик. здорово же они заваливать!
",positive,1,2,,2,2,,,,,"А сейчас ярко светит солнце. Вот только что, буквально у нас на глазах, наши зенитчики сбили три советских бомбардировщика. Здорово же их завалили!"
928,1923-08-31,1923-08-01,938,471491,"август. альбек.    
беспутно грустный, постылый месяц: заедать тоска<com id=""155688201014454""/>.
",skip,2,1,,2,1,,,,,"Август. Альбек.    
Беспутно грустный, постылый месяц: заела тоска<com id=""155688201014454""/>."
5,,1942-10-21,4,149686,"( среда ) неприятный картина получиться сегодня . приходить рано утро к кравченко феда . тут разбираться вопрос о недисциплинированность некоторый боец . это о вася — [ … ] и гриша — политрук . спрашивать командир вася — почему не стоять на линейка ночь , а весь время сидеть возле костер в лагерь . вася отвечать — я сказать , что нужный охранять мясо , чтобы не красть архаровец ( это касаться мой отряд ) . я это сильно взрыть . я выругаться на этот чудак , а сам вызвать комиссар алексей павлович и стать говорить по этот вопрос . что значить архаровец . командир федя и комиссар алеша принять мера по отношение этот чудак вася . решить собрать совместный партийный собрание с вопрос : задача коммунист в предстоять поход ( доклад - информация делать я ) . в свой информация говорить о то , как коммунист занимать авангардный роль в весь проделать работа , о конспирация , о недостаток коммунист , задача коммунист — в переход за нлиние ] фронт и так далее . далее вопрос стоять о коммунист гриша фишман , стоять вопрос о исключение он из вкпб ) . гриша в партизанский отряд не проявить себя как патриот свой родина . однажды он быть послать на разведка в нсел ] хатка и медвежье . в этот время в хатках быть 240 немец , разведка попасть на телефонный провод , идти в хатка — добродеевка . гриша этот провод не уничтожить и струсить . кроме то , он в отряд не приходить три день . на это его проступок не кончаться — не так давно он пойти в разведка и напасть на немчуру — также струсить — бросить свой товарищ , а сам позорно удрать . и последний его проступок — 20 на 21 октябрь 1942 год ( стоять на пост ) он должен ходить по линейка , но он , вместо то чтобы проявить бдительность , пойти в лагерь и почти просидеть весь свой смена . по этот вопрос я дать предложение с такой формулировка : за проявление трусость в разведка , невыполнение приказание командир ( отказаться стать на пост ) в время хозяйственный операция в снеле ] каменка , за недисциплинированность ( уйти с пост с 20 на 21 октябрь 1942 год ) объявить гриша фишман строгий выговор с предупреждение . вот и прийти разведка с донесение … никто не найти , ни отряд , никакой партизанский группа , но зато принести сведение о то , что враг настолько озвереть , что далеко граница нет . немчур спалить снести ] волосовичич , вести подготовка для полный уничтожение с нело ] осиновка , а в снеле ] сидорович немчур арестовывать 50 – 60 полицейский — что очень хороший явление , среди полицейский идти разложение .",neutral,1,1,,,,в,,,,"(Среда) Неприятная картина получилась сегодня. Прихожу рано утром к Кравченко Феде. Тут разбирается вопрос о недисциплинированности некоторых бойцов. Это о Васе — […] и Грише — политруке. Спрашивает командир Васю — почему не стоял на линейке ночью, а все время сидел возле костра в лагере. Вася отвечает — мне сказали, что нужно охранять мясо, чтобы не украли архаровцы (это касалось моего отряда). Меня это сильно взорвало. Я выругался на этого чудака, а сам вызвал комиссара Алексея Павловича и стал говорить по этому вопросу. Что значит архаровцы. Командир Федя и комиссар Алеша приняли меры по отношению этого чудака Васи.    
Решили собрать совместное партийное собрание с вопросом: задача коммунистов в предстоящем походе (доклад-информацию сделал я). В своей информации говорил о том, как коммунисты занимали авангардную роль во всей проделанной работе, о конспирации, о недостатках коммунистов, задачи коммунистов — в переходе за [линию] фронта и т. д. Далее вопрос стоял о коммунисте Грише Фишман, стоял вопрос об исключении его из ВКП(б). Гриша в партизанском отряде не проявил себя как патриот своей Родины. Однажды он был послан на разведку в [села] Хатки и Медвежье. В это время в Хатках было 240 немцев, разведка попала на телефонный провод, идущий в Хатки — Добродеевка. Гриша этого провода не уничтожил и струсил. Кроме того, он в отряд не приходил три дня. На этом его проступок не кончается — не так давно он пошел в разведку и напал на немчуру — также струсил — бросил своего товарища, а сам позорно удрал. И последний его проступок — 20 на 21 октября 1942 г. (стоял на посту) он должен ходить по линейке, но он, вместо того чтобы проявить бдительность, пошел в лагерь и почти просидел всю свою смену.    
По этому вопросу я дал предложение с такой формулировкой: за проявление трусости в разведке, невыполнение приказания командира (отказался стать на пост) во время хозяйственной операции в с[еле] Каменка, за недисциплинированность (ушел с поста с 20 на 21 октября 1942 г.) объявить Грише Фишман строгий выговор с предупреждением.    
Вот и пришла разведка с донесением… никого не нашли, ни отряда, никаких партизанских групп, но зато принесли сведение о том, что враг настолько озверел, что дальше границы нет. Немчура спалила с[ело] Волосовичи, ведет подготовку для полного уничтожения с [ела] Осиновки, а в с[еле] Сидоровичи немчура арестовала 50–60 полицейских — что очень хорошее явление, среди полицейских идет разложение."
198,,1954-12-27,205,230243,"на день я опять быть у ан. петр. и прочитывать она «грамматика любовь» бунин<com id=""148829951541811""/>. очень я любить этот вещь. под этот впечатление а. п. рассказывать я следующий история:    
до революция на невский быть магазин готовый платье брат морить<com id=""148829951541812""/>. (я хорошо знать этот магазин, что-то там заказывать).     
у один из брат умирать молодой, очаровательный жена. он не мочь расставаться и с мертвый жена. на никольский александро-невский кладбище он воздвигать гранитный мавзолей, состоять из комната и склеп, куда вести ступень. жить он в этот комната с преданный слуга, который он готовить, и гроб, незасыпать земля, стоять в склеп.
",neutral,1,3,,2,2,,,,,"На днях я опять была у Ан. Петр. и прочла ей «Грамматику любви» Бунина<com id=""148829951541811""/>. Очень я люблю эту вещь. Под этим впечатлением А. П. рассказала мне следующую историю:    
До революции на Невском был магазин готового платья братьев Мори<com id=""148829951541812""/>. (Я хорошо знала этот магазин, что-то там заказывала).     
У одного из братьев умерла молодая, очаровательная жена. Он не мог расстаться и с мертвой женой. На Никольском Александро-Невском кладбище он воздвиг гранитный мавзолей, состоявший из комнаты и склепа, куда вели ступени. Жил он в этой комнате с преданным слугой, который ему готовил, и гроб, незасыпанный землей, стоял в склепе."
102,,1968-03-18,100,34747,"уже повесить приказ об увольнение щербаков. вчера влади сказать я, что мой работа в «галилей» высоко все, в монолог, в сцена с галилей. пустячок, а приятно.
",skip,1,2,,2,2,,,,,"Уже повесили приказ об увольнении Щербакова. Вчера Влади сказала мне, что моя работа в «Галилее» выше всех, в монологе, в сцене с Галилеем. Пустячок, а приятно."
